SMILES,ID,CDK12 IC50,pValue,,,,,,, pValue
CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,ADS121442,1.47E+00,5.832682665,,,,,,,
OC1=C(Br)C=C(\\C=C2/C(=O)NC3=CC=C(I)C=C23)C=C1Br,ADS121468,3.2690953,5.485572419,,,,,,,
CCN(CC)CC1=CC=C(NC2=NC(=CC=N2)C2=C3C=CC=NN3N=C2)C=C1,ADS141659,0.13075935,6.883527247,,,,,,,
N1C=CC2=C1N=CN=C2C1=C2C=CC=NN2N=C1,ADS148353,8.6815,5.06140523,,,,,,,
CCC1=C2N=C(C=C(NCC3=CC=C[N+]([O-])=C3)N2N=C1)N1CCCC[C@H]1CCO,ADS148354,1.54E-02,7.812479279,,,,,,,
O=C1NCCC2=C1C=C(N2)C1=CC=NC=C1,ADS148355,1.15926215,5.935818344,,,,,,,
O=C(CC1=CC=CC=C1)NC1=NC(=CC=N1)C1=C2C=CC=NN2N=C1,ADS148414,5.3803472,5.269189698,,,,,,,
N1N=CC2=C1N=CC=C2C1=C2C=CC=NN2N=C1,ADS148699,5.9131,5.228184776,,,,,,,
O=C1NCCC2=C1C=C(N2)C1=CC=NC2=C1C=CN2,ADS148774,0.1900635,6.721101278,,,,,,,
N1C=C(C=N1)C1=C2C=CC=NN2N=C1,ADS148806,26.3476,4.579258938,,,,,,,
COC1=CC=C(C=C1)C(=O)NC1=NC(=CC=N1)C1=C2C=CC=NN2N=C1,ADS149111,4.35933205,5.36058005,,,,,,,
O=C(NC1=NC(=CC=N1)C1=C2C=CC=NN2N=C1)C1CC1,ADS149112,3.1062384,5.507765216,,,,,,,
O=C(NC1=NC(=CC=N1)C1=C2C=CC=NN2N=C1)C1=CC=NC=C1,ADS149114,4.47382805,5.349320712,,,,,,,
O=C1NCCC2=C1C=C(N2)C1=C2C=NNC2=NC=C1,ADS149115,9.95E-02,7.002176919,,,,,,,
N1N=CC2=C1C(=CC=N2)C1=C2C=CC=NN2N=C1,ADS149126,11.45645,4.940949936,,,,,,,
N1C=CC2=C1N=CC=C2C1=C2C=CC=NN2N=C1,ADS149127,0.2248208,6.648163511,,,,,,,
C1=NN2N=CC=CC2=C1C1=NC=NC2=CC=CC=C12,ADS149128,28.9224,4.538765672,,,,,,,
C1=NN2N=CC=CC2=C1C1=CC=NC2=CC=CN=C12,ADS149181,7.67615,5.114856547,,,,,,,
N1C=NC2=C1N=CC=C2C1=C2C=CC=NN2N=C1,ADS149281,1.1891808,5.924752111,,,,,,,
N1N=CC2=CC(=CC=C12)C1=C2C=CC=NN2N=C1,ADS149282,8.17887255,5.087306559,,,,,,,
ClC1=CC=C(C=C1)C(=O)NC1=NC=CC(=N1)C1=C2C=CC=NN2N=C1,ADS149808,6.32335,5.199052779,,,,,,,
CN1CC[C@@H]([C@H](O)C1)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC=CC=C1Cl,ADS149853,4.06E-01,6.391473966,,,,,,,
CC(C)N1C(C)=NC=C1C1=NC(NC2=CC=C(C=C2)S(C)(=O)=O)=NC=C1,ADS150008,2.53869125,5.595390114,,,,,,,
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)C3CCNCC3)S2)O1,ADS150009,0.1564477,6.805630817,,,,,,,
ClC1=CC=CC(Cl)=C1C(=O)NC1=CNN=C1C(=O)NC1CCNCC1,ADS150010,0.1618515,6.790883271,,,,,,,
CCN1CCN(CC2=C(C=C(NC(=O)NC3=CC=C(OC4=NC=NC(NC)=C4)C=C3)C=C2)C(F)(F)F)CC1,ADS150022,1.520740175,5.817944981,,,,,,,
CC1(C)CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS150137,0.67296265,6.172009039,,,,,,,
C1CCC2=C(C=CN=C2NC1)C1=C2C=CC=NN2N=C1,ADS150168,1.176815375,5.929291666,,,,,,,
C1CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS150169,5.9149149,5.228051499,,,,,,,
NC1=NC=CC(=N1)C1=C2C=CC=NN2N=C1,ADS150197,2.2115001,5.655313037,,,,,,,
COC1=CC=C(F)C(F)=C1C(=O)C1=C(N)N=C(NC2CCN(CC2)S(C)(=O)=O)N=C1,ADS150265,0.7851895,6.105025517,,,,,,,
CC(C)CC(=O)NC1=NNC2=C1CN(C(=O)C1CCN(C)CC1)C2(C)C,ADS150266,1.0807172,5.966287937,,,,,,,
CN1C2=C(C=C1C1=CC=NC3=C1C=CN3)C(=O)NCC2,ADS150301,2.7958364,5.553488245,,,,,,,
CN1C2=C(C=C1C1=CC=NC3=C1C=CN3)C(=O)NCC2,ADS150301,2.7958364,5.553488245,,,,,,,
NC1=CC(C2=C3C=CC=NN3N=C2)=C2C=CNC2=N1,ADS150398,23.4601,4.629670141,,,,,,,
CC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS150399,0.3115338,6.506494827,,,,,,,
CN1CCC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C1=O,ADS150417,2.8365034,5.547216692,,,,,,,
CC1=CC2=C(C=CN=C2N1)C1=CC2=C(CCNC2=O)N1,ADS150474,1.44730745,5.839439202,,,,,,,
CN(C)C(=O)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS150651,2.7703808,5.557460531,,,,,,,
NC1=NC=CC(=C1)C1=C2C=CC=CN2N=C1,ADS150677,9.369,5.028306761,,,,,,,
C1CC2=C(C=CN=C2N1)C1=C2C=CC=CN2N=C1,ADS150678,19.7032,4.705463234,,,,,,,
C1CCC2=C(C=CN=C2NC1)C1=C2C=CC=CN2N=C1,ADS150680,18.63505,4.729669438,,,,,,,
CC1CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS150798,0.4555306,6.341482444,,,,,,,
COCCNC(=O)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS150844,15.03675,4.822846021,,,,,,,
CC(C)CNC(=O)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS150845,13.30855,4.875869259,,,,,,,
CN(C)CCNC(=O)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS150846,5.30011325,5.275714851,,,,,,,
NC(=O)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS150847,0.4396184,6.356924139,,,,,,,
COCCC1CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS150849,2.09140785,5.679561266,,,,,,,
CC1(C)CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS150850,0.32018535,6.494598543,,,,,,,
OCCN1C2=C(C=C1C1=C3C=CNC3=NC=C1)C(=O)NCC2,ADS150931,1.86187405,5.730049701,,,,,,,
CC1=CC(C2=CC3=C(CCNC3=O)N2)=C2C=CNC2=N1,ADS150936,13.2097,4.879107045,,,,,,,
N1C=CC2=C(C=CN=C12)C1=C2C=CC=CN2N=C1,ADS150979,1.4001347,5.853830181,,,,,,,
CC1CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS150986,0.3872979,6.411954858,,,,,,,
CNC(=O)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS151024,0.3511249,6.454538371,,,,,,,
NC1=CC(C2=CC3=C(CCNC3=O)N2)=C2C=CNC2=N1,ADS151082,9.08195,5.041820893,,,,,,,
N1C=CC2=C(C=CN=C12)C1=CC=C2C=NNC2=C1,ADS151084,0.95162345,6.021534865,,,,,,,
CCN1C=C(N=N1)C1=C2C=CNC2=NC=C1,ADS151085,8.22895385,5.084655373,,,,,,,
C(N1C=C(N=N1)C1=C2C=CNC2=NC=C1)C1=CC=CC=C1,ADS151086,19.6582,4.706456251,,,,,,,
CS(=O)(=O)NC1=CC(=CC=C1)C1=C2C=CNC2=NC=C1,ADS151087,18.2956,4.737653343,,,,,,,
N1C=CC2=C(C=CN=C12)C1=CC=C2NN=NC2=C1,ADS151088,1.1621832,5.934725407,,,,,,,
O=C1NC2=CC=C3N=CSC3=C2\\C1=C\\C1=CNC=N1,ADS151090,2.99E-02,7.524328812,,,,,,,
O=C1NCCC2=NN(C=C12)C1=C2C=CNC2=NC=C1,ADS151116,5.8295099,5.234367956,,,,,,,
CC1=CN=C2NC=CC2=C1C1=C2C=CC=NN2N=C1,ADS151195,1.0949981,5.960586634,,,,,,,
C[C@H]1CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS151481,0.31043865,6.508024214,,,,,,,
C[C@@H]1CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS151482,0.23460365,6.629665235,,,,,,,
COCCN1C2=C(C=C1C1=C3C=CNC3=NC=C1)C(=O)NCC2,ADS151483,17.40265,4.759384614,,,,,,,
CCC1CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS151484,0.29731015,6.526790264,,,,,,,
C1COC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS151603,0.643597125,6.191385905,,,,,,,
C[C@@H]1CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS151606,0.291294175,6.5356682,,,,,,,
C[C@H]1CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS151607,0.40674615,6.390676549,,,,,,,
COC1=NN2N=CC(=C2C=C1)C1=C2C=CNC2=NC=C1,ADS151616,4.5529,5.341711888,,,,,,,
CC(C)CC1CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS151688,0.52651785,6.278586901,,,,,,,
CN(C)C\\C=C\\C(=O)NC1=CC=C(C=C1)C(=O)NC1=CC=CC(NC2=NC=C(Cl)C(=N2)C2=CNC3=CC=CC=C23)=C1,ADS151840,7.12E-02,7.147520006,,,,,,,
COC1=CC=C2NC(=O)\\C(=C/C3=CNC=N3)C2=C1,ADS151841,0.3789132,6.421460265,,,,,,,
O=C1NC2=CC=CC=C2\\C1=C\\C1=CN=CN1,ADS151844,1.65329735,5.78164903,,,,,,,
OC1=C(Cl)C=C(C=C2C(=O)NC3=CC=C(Cl)C=C23)C=C1Cl,ADS151845,5.1030871,5.292167019,,,,,,,
O=C1NCCC2=C1C=C(O2)C1=CC=NC2=C1C=CN2,ADS151929,2.4764408,5.606172049,,,,,,,
COC1=CC2=C(C=NN2N=C1)C1=C2C=CNC2=NC=C1,ADS151930,2.33594315,5.631537731,,,,,,,
O=C1NCCC2=C1C=C(N2CC1=CC=NC=C1)C1=C2C=CNC2=NC=C1,ADS151944,20.37875,4.690822458,,,,,,,
C1CNC2=NC=CC(C3=C4C=CC=NN4N=C3)=C2OC1,ADS152044,1.17060065,5.931591239,,,,,,,
CN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CN(CCCSC(N)=N)C2=C1C=CC=C2,ADS152046,0.05925855,7.227248979,,,,,,,
O=C1NC(CC2=CC=CC=C2)CC2=C1C=C(N2)C1=C2C=CNC2=NC=C1,ADS152063,0.9982,6.000782434,,,,,,,
CN1CCN(CC2=CC3=C(C=CN=C3N2)C2=C3C=CC=NN3N=C2)CC1,ADS152067,4.78E-01,6.320572103,,,,,,,
OCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS152068,0.4953656,6.305074156,,,,,,,
C(N1CCOCC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS152069,3.27186945,5.485204033,,,,,,,
N1C=CC2=C(C=CN=C12)C1=CN=C2N=CC=CN12,ADS152158,8.9586,5.047759854,,,,,,,
CC(C)C[C@H]1CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS152171,0.2660721,6.575000663,,,,,,,
CC(C)C[C@@H]1CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS152172,3.34042835,5.476197839,,,,,,,
O=C(CN1CCOCC1)NCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS152347,6.7462133,5.170939932,,,,,,,
CN1CCN(CC(=O)NCC2=CC3=C(C=CN=C3N2)C2=C3C=CC=NN3N=C2)CC1,ADS152348,5.5198955,5.258069144,,,,,,,
O=C1SN(C(=O)N1CC1=CC=CC=C1)C1=C2C=CC=CC2=CC=C1,ADS152371,6.17E+00,5.209714836,,,,,,,
COCCOC1=CC2=C(C=NN2N=C1)C1=C2C=CNC2=NC=C1,ADS152372,9.92885,5.00310105,,,,,,,
CN(C)CCCN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CNC2=C1C=CC=C2,ADS152373,3.21820065,5.492386882,,,,,,,
CN(C)CCNCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS152413,4.02325,5.39542298,,,,,,,
O=C1N[C@@H](COCC2=CC=CC=C2)CC2=C1C=C(N2)C1=C2C=CNC2=NC=C1,ADS152460,1.7773,5.750239259,,,,,,,
FC(F)(F)CCC1CNC(=O)C2=C1NC(=C2)C1=CC=NC2=C1C=CN2,ADS152541,6.91E+00,5.160521953,,,,,,,
FC(F)=CCC1CNC(=O)C2=C1NC(=C2)C1=CC=NC2=C1C=CN2,ADS152542,1.0896749,5.962703053,,,,,,,
CN(C)CCCC(=O)NC1=CC=C(C=C1)C(=O)NC1=CC=CC(NC2=NC=C(Cl)C(=N2)C2=CNC3=CC=CC=C23)=C1,ADS152591,0.0384022,7.415643895,,,,,,,
CN(C)C\\C=C\\C(=O)NC1=CC(=CC=C1)C(=O)NC1=CC=CC(NC2=NC=C(Cl)C(=N2)C2=CNC3=CC=CC=C23)=C1,ADS152592,3.61E-02,7.442492798,,,,,,,
O=C1NCC2(CCNCC2)C2=C1C=C(N2)C1=CC=NC2=C1C=CN2,ADS152659,0.05256985,7.279263262,,,,,,,
CN1CCN(CC1)C1=NC2=CC=CC=C2C(=N1)C1=C(C(=O)NC1=O)C1=CNC2=C1C=CC=C2,ADS152661,5.61425745,5.250707676,,,,,,,
CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CC5=C(NN=C5)N=C4)=C(C)C=C3)C=C2C(F)(F)F)CC1,ADS152662,3.7875461,5.421642072,,,,,,,
OC[C@H]1CC2=C(C=C(N2)C2=C3C=CNC3=NC=C2)C(=O)N1,ADS152678,0.32313255,6.490619292,,,,,,,
CC1(C)OCC(COC2=CC3=C(C=NN3N=C2)C2=C3C=CNC3=NC=C2)O1,ADS152679,2.79788815,5.553169651,,,,,,,
OCC(O)COC1=CC2=C(C=NN2N=C1)C1=C2C=CNC2=NC=C1,ADS152680,3.91075315,5.407739596,,,,,,,
CN(C)C\\C=C\\C(=O)NC1=CC(=CC=C1)C(=O)NC1=CC=C(NC2=NC=CC(=N2)C2=CC=CN=C2)C(C)=C1,ADS154003,19.9851,4.699293674,,,,,,,
O=C(NCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1)C1CC1,ADS154011,20.18985,4.694866908,,,,,,,
C=CCC1CNC(=O)C2=C1NC(=C2)C1=CC=NC2=C1C=CN2,ADS154012,0.48898545,6.310704063,,,,,,,
CN(C)CCN1C2=C(C=C1C1=CC=NC3=C1C=CN3)C(=O)NCC2,ADS154013,1.97353865,5.704754364,,,,,,,
CC(C)(C)OC(=O)N1CCN(CC2=CC3=C(C=CN=C3N2)C2=C3C=CC=NN3N=C2)CC1,ADS154016,6.69308785,5.174373475,,,,,,,
C(N1CCNCC1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS154017,4.60954795,5.336341663,,,,,,,
CN(C)CC(=O)NCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS154409,6.9081,5.160641384,,,,,,,
O=S(=O)(NCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1)C1CC1,ADS154410,6.70002485,5.173923587,,,,,,,
OCCC1CNC(=O)C2=C1NC(=C2)C1=CC=NC2=C1C=CN2,ADS154456,0.16479555,6.78305452,,,,,,,
O=C1NCC2(CNC2)C2=C1C=C(N2)C1=CC=NC2=C1C=CN2,ADS154653,0.06060995,7.217456074,,,,,,,
CN1CCC(CC1)OCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS154716,1.44444245,5.840299757,,,,,,,
CN1CC2(C1)CNC(=O)C1=C2NC(=C1)C1=CC=NC2=C1C=CN2,ADS155304,0.41961195,6.377152152,,,,,,,
CN(C)CCOCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS155308,2.9488946,5.53034075,,,,,,,
C=CC[C@@H]1CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS155819,1.2853121,5.890991404,,,,,,,
C=CC[C@H]1CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS155820,0.5381173,6.269123046,,,,,,,
CC1=NN2N=CC(=C2C=C1)C1=CC=NC2=C1C=CN2,ADS155915,2.1437193,5.668832082,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1=CC=C(NC(=O)C=C)C=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS156210,0.01656915,7.78069977,,,,,,,
